date,utm_source,utm_medium,utm_campaign,sessions,conversions,revenue
2026-06-01,google,organic,,613,16,727.7
2026-06-02,bing,cpc,search_brand_q2,136,2,130.3
2026-06-03,twitter,social,product_launch,35,0,0.0
2026-06-04,google,cpc,search_competitor_q2,190,6,282.89
2026-06-05,google,organic,,516,12,610.23
2026-06-06,Google,cpc,search_brand_q2,213,6,527.32
2026-06-07,twitter,social,product_launch,34,0,0.0
2026-06-08,google,cpc,search_competitor_q2,407,8,429.79
2026-06-09,Twitter,Social,product_launch,44,1,60.77
2026-06-10,Google,cpc,search_brand_q2,377,8,394.67
2026-06-11,newsletter,email,weekly_digest,227,9,438.95
2026-06-12,google,cpc,search_brand_q2,405,10,863.74
2026-06-13,bing,cpc,search_brand_q2,112,2,101.57
2026-06-14,google,cpc,search_competitor_q2,412,13,1170.74
2026-06-15,google,cpc,search_brand_q2,211,7,340.72
2026-06-16,bing,cpc,search_brand_q2,75,1,86.19
2026-06-17,facebook,paid_social,retarget_q2,228,5,325.22
2026-06-18,twitter,social,product_launch,61,1,48.7
2026-06-19,Google,cpc,search_brand_q2,281,6,475.83
2026-06-20,google,cpc,search_competitor_q2,328,7,621.21
2026-06-01,google,cpc,search_competitor_q2,190,4,271.89
2026-06-02,twitter,social,product_launch,84,1,52.49
2026-06-03,twitter,social,product_launch,32,0,0.0
2026-06-04,Facebook,paid_social,retarget_q2,131,2,80.65
2026-06-05,newsletter,email,,273,10,798.3
2026-06-06,Google,cpc,search_brand_q2,402,10,846.58
2026-06-07,twitter,social,product_launch,53,1,59.72
2026-06-08,twitter,social,product_launch,77,0,0.0
2026-06-09,newsletter,email,,140,5,247.63
2026-06-10,google,organic,,438,11,470.76
